"time [s]"	"region"	"quantity [m(3)]"	"flux"	"flux_in"	"flux_out"	"mass"	"source"	"source_in"	"source_out"	"flux_increment"	"source_increment"	"flux_cumulative"	"source_cumulative"	"error"
0	"fracture_x"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	"fracture_xy"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	"rock"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".right_frac"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".top"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".bottom"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".left"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".right"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".IMPLICIT_BOUNDARY"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	"fracture_x"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	"fracture_xy"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	"rock"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	".right_frac"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	".top"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	".bottom"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	".left"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	".right"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
1	".IMPLICIT_BOUNDARY"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
